SITEID,Name,Description,AWRC,StateID
BREMWKR,Bremer River at Woodstock Road,Bremer River at Woodstock Road,A4261071,5.0
BRENDA,Culgoa River at Brenda,BSMS EOV target site,422015,2.0
422015A,Culgoa River at Brenda,BSMS EOV target site,422015,2.0
422015_,Culgoa River at Brenda,BSMS EOV target site,422015,2.0
422013A,BIRRIE RIVER AT NEAR GOODOOGA,BSMS EOV target site,422013,2.0
BRESDRN,BERRI EAST DRAINAGE OUTFALL,BERRI EAST DRAINAGE OUTFALL DIRECTLY TO R.MURRAY,,5.0
BRESTP,Brewarrina STP,,,2.0
9GSBREW,Barwon River at Brewarrina,,422002,2.0
BREWARR,Barwon River at Brewarrina,,422002,2.0
BREWTOT,Barwon R Brewarrina ( total flow ),,422023,2.0
BRGSTP,Bellbridge STP,,,4.0
BRHAMET,Broken Hill Airport MET,Broken Hill Airport AWS. 2.8 Km from closed Site BROKMET,47048,2.0
BRIABOR,Briarie Creek @ Border,,,
BRIDGEW,Loddon River at Bridgewater,Loddon River at Bridgewater,407200,4.0
BRIGADO,Murray River @ Brigadoon,Mitta Mitta River & Upper Thermal Analysis Site,40110064,2.0
BRIGHT,Ovens River at Bright,,403205C,4.0
BRILKA,Brilka Creek - Dam,,,2.0
BRINGBR,River Murray at Bringenbrong Bridge,,401001,2.0
BRINGEN,River Murray at Bringenbrong,,401549,2.0
BRMNDRN,Berri Main Drain E.D. Drainage Outfall,BERRI MAIN DRAIN E.D. DRAINAGE OUTFALL DIRECTLY TO R.MURRAY,,5.0
BROKDSC,D/S of Casey's Weir,D/S of Casey's Weir - Broken River System,,4.0
BROKEN,Broken River System,,,4.0
BROKEOF,Broken Diversion for Env or Flood Flow,Broken Diversions for Environment or Flood Flows,,4.0
BROKESC,Broken Creek Escape,,,4.0
BROKHIL,Broken Hill,Broken Hill - Lower Darling River System,,2.0
BROKMET,Broken Hill Met Station (Patton Street),Broken Hill Meteorological Station (Patton Street).,47007,2.0
,,Data from 1889. Site closed on 31 Dec 2015.,,
BROKOFT,Broken River at Broken Chan Offtake,Broken River at Broken Chan Offtake (Goorambat),404216,2.0
BROKTWS,Broken Hill Town Water Supply,Supplied by Broken Hill Water Board,,2.0
BROKUSC,U/S of Casey's Weir,U/S of Casey's Weir - Broken River System,,4.0
BRONTE,Mehi River at Bronte,,418058,2.0
BRUNSTP,Brungle STP,,,2.0
BRYESC,25/4 Bryer,,,4.0
BSBDOF,Baseby,,,5.0
BSREG,Black Swamp regulator U/S (creek side),Gunbower Forest - VIC National Parks,407340A,4.0
BSREGDS,Black Swamp regulator D/S (forest side),Gunbower Forest - VIC National Parks,,
BTCKDSB,Boat Creek 200m downstream Bridge @ Chowilla,Chowilla System - South Australia,A4261092,
BUCHRDS,Buchanans Regulator D/S,Millewa monitoring site,,
BUCHREG,Buchanans River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
BUCKIIN,Buckiinguy Ck at Break,Buckiinguy Ck @ Break,421111,2.0
BUCKLND,Ovens River at Buckland,,403233A,4.0
BUFFALO,Lake Buffalo - Ovens River,,403235A,4.0
BULBIF,Bulgeraga Creek at Bifurcation,Bulgeraga Creek @ Bifurcation,421145,2.0
BULGIB,Bulgeraga Creek @ Gibson Way,Bulgeraga Creek @ Gibson Way,421118,2.0
BULLATA,Bullatale Creek U/S Edward River,Bullatale Creek U/S Edward River,409075,2.0
BULLEL,Bullock Creek at East Loddon,Bullock Creek at East Loddon,407290,4.0
BULLIOH,Tallangatta Creek at Bullioh,,401218,4.0
BULLPAD,Bull Paddock River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
BULLUBC,Bullock Creek U/S Box Creek,BULLOCK CREEK U/S BOX CREEK,407287,4.0
BULOFDS,Bullatale Offtake (Downstream),Millewa monitoring site,,
BULOFUS,Bullatale Offtake U/S,Millewa monitoring site,,
BULPUNG,Great Darling Anabranch at Bulpunga,,425011,4.0
BUNDY,Billabong Creek at Bundy,,410053,2.0
BUNGSTP,Bungendore STP,,,2.0
BUNNYDS,Bunny Digger Regulator D/S,Millewa monitoring site,,
BUNYDIG,Bunnydigger River Regulator,River Regulator settings - Murray River - Barmah forest - NSW National Parks,,2.0
BUR@OUT,Burragorimma Dr at Outfall,U/S Burragorimma Drain Outfall into Taylor's Creek,40910026,2.0
BURDET,Burdett,,426,5.0
BURDOF,Burrigaroma Drain (NMBR),,,2.0
BURNSCK,Burns Ck inflow to Tooma-Tumut tunnel,Burns Ck is in the Tumut catchment,,2.0
BURNTBR,Burnt Bridge,Millewa monitoring site,,
BURNTHT,Snowy River at Burnt Hut Crossing,SNOWY RIVER - BURNT HUT CROSSING,222013,2.0
BURPUMP,Buronga Irrigation Pump - From Murray,,,
BURRABO,Burraboi Storm Drain,Burraboi Storm Drain to Jimaringle Ck,40910125,2.0
BURRAWE,Burra Creek at Worlds End (Low Flow),Burra Creek at Worlds End (Low Flow),A4261148,5.0
BURREND,Burrendong Reservoir - Macquarie River,,,2.0
BURRINJ,Burrinjuck Reservoir,,,2.0
BURRLOG,Burra Creek U/S Logan Creek,,A4261147,5.0
BURTUND,Darling River @ Burtundy,,425007,2.0
BWTFE,Beechworth Trout Farm,,,4.0
BWTSTP,Beechworth STP,,,4.0
CABRSTP,Cabramurra STP,,,2.0
CADELL,River Murray at Cadell Irrigation Pumps,,4260556,5.0
CADESC2,Cadow No.2 Escape,,,2.0
CADESC3,Cadow No. 3 Escape,,,2.0
CADLDRN,Cadell LWMP Drains,Cadell Land and Water Management Plan Drains,,
CADPUM,Cadell - Blanchetown Pipeline,,,
407210,Loddon River at Cairn Curran Reservoir,Cairn Curran Reservoir - Loddon River,407210,4.0
CAIRNCU,Loddon River at Cairn Curran Reservoir,Cairn Curran Reservoir - Loddon River,407210,4.0
424201A,Paroo R at Caiwarro,Paroo R at Caiwarro - Queensland,424201A,1.0
CAIWARR,Paroo R at Caiwarro,Paroo R at Caiwarro - Queensland,424201A,1.0
CALFCK,Calf Creek River Regulator U/S Forest Side,New South Wales Regulators - Koondrook-Perricoota Forest,,2.0
CALIVIL,Calivil Creek at Wisharts Road,Calivil Creek at Wisharts Road,407284,4.0
CALWATR,Caldwells Waterhole,Millewa monitoring site,,
CAMCAMP,Campaspe River at Campaspe,,,4.0
CAMDSEP,Campaspe River d/s of Eppalock,Campaspe River d/s of Eppalock,,4.0
CAMDSRO,Campaspe River d/s of Rochester,,,4.0
CAMFEHR,Campaspe River at Fehrings Lane,Campaspe River at Fehrings Lane,406276,4.0
CAMPAPD,Eppalock to Campaspe Weir,Regulated Licences - Eppalock to Campaspe Weir,,4.0
CAMPASP,Campaspe River System,,,4.0
CAMPBCK,Campbells Creek,Millewa monitoring site,,
CAMPECH,To be deleted - see ECHCAMP,To be deleted - see ECHCAMP - Jas (Jan2002),,
CAMPEXT,Millewa Ck at Northern Highway,Shepparton Drain,406264,4.0
CAMPID,Campaspe Irrigation District,,,4.0
CAMPSYP,Campaspe River D/S OF Syphon,,,2.0
CAMPWR,Campaspe River at Weir,,,2.0
CAMPWST,Campaspe West Drains for BSMS,,,4.0
CAMPWUS,Campaspe R at Campaspe Weir (HG),,406218,4.0
CAMROCH,Campaspe River at Rochester,,,4.0
CAMUSEP,Campaspe River u/s of Eppalock,,,4.0
CAMWEIR,Campaspe River at Campaspe Weir,,406203,4.0
CAMWWMC,Campaspe River - WWMC,,,4.0
CAMWWS,Campaspe Weir to WWC Siphon,Regulated Licences - Campaspe Weir to WWC Siphon,,4.0
CANBERR,Canberra Airport,Site closed on 3/12/2010. To be replaced by 70351 opened on 19/9/2008,70014,3.0
CANBMET,Canberra Airport,Site opened in 2008. Replace 70014,70351,
CANSTP,Canowindra STP,,,2.0
CANTALA,Cantala Regulator lake side - Hattah Lakes,Hattah Lakes Regulators - Victoria,,
CAPELSX,Barr Ck at Capels Flume,Barr Ck - Capels Flume (not capels Xing),407252A,4.0
CAPELXG,Barr Ck at Capels Crossing,Barr Ck at Capels Crossing (not the flume),407216,4.0
CAPFSTP,Captain's Flat STP,,,2.0
CARCOAR,Carcoar Reservoir on Lachlan System,,,2.0
8CARMAR,Marthaguy Creek at Carinda,,421011,2.0
CARIMAR,Marthaguy Creek at Carinda,,421011,2.0
CARIMET,Carinda (Post Office),,51007,2.0
8FGCARR,Macquarie River at Carinda (Bells Bridge),,421012,2.0
CARINDA,Macquarie River at Carinda (Bells Bridge),,421012,2.0
6GARAHG,Carole Creek Outflow -Gwydir System,Carole Creek @ near Garah,418052,2.0
CAROLE,Carole Creek Outflow -Gwydir System,Carole Creek @ near Garah,418052,2.0
CAROMET,Walgett (Old Boorooma),,48231,2.0
CARYELT,Carwarp/Yelta WWD,Carwarp/Yelta WWD - Sunraysia,,
CASEYS,Broken River at Caseys Weir,,404217,4.0
CASEYWR,Broken River 60m d/s Casey's Weir,Broken River 60m d/s Casey's Weir (Goonranbat),404200,4.0
CATTANA,Cattanach Canal,,,4.0
CAW2DAR,Release from Cawndilla to Darling,Penellco Channel,,2.0
CAWND29,Lake Cawndilla Sample Site 29,See WRC Menindee Lakes Storages map,42510029,2.0
CAWND30,Lake Cawndilla Sample Site 30,See WRC Menindee Lakes Storages map,42510030,2.0
CAWND31,Lake Cawndilla Sample Site 31,See WRC Menindee Lakes Storages map,42510031,2.0
CAWND32,Lake Cawndilla Sample Site 32,See WRC Menindee Lakes Storages map,42510032,2.0
CAWND33,Lake Cawndilla Sample Site 33,See WRC Menindee Lakes Storages map,42510033,2.0
CAWND34,Lake Cawndilla Sample Site 34 ~CAWNOUT,See WRC Menindee Lakes Storages map,42510034,2.0
CAWNDIL,Lake Cawndilla,,425023,2.0
CAWNOUT,Lake Cawndilla Outlet Regulator ~CAWND34,,425014,2.0
CBBNNSW,Culgoa-Birrie-Bokhara-Narran in NSW,,,2.0
CCDOF,Coleambally Catchment Drain (CCD),,,2.0
CCEESC,Campaspe Channel 2/2 East,,,4.0
CCKUSMC,Chowilla Creek @ US Monoman Creek (Pontoon),Chowilla System - South Australia,A4261107,
CCPUMP,Pump To Chalka Creek,,CCPUMP,
CCUSRMJ,Chowilla Creek 1.5km U/S River Murray junction,Chowilla System - South Australia,A4261224,
CENTIRR,Central Irrigation Trust,,,5.0
CEPSTP,Cecil Plains STP,,,1.0
CFINR1,FINLEY NO.3 CHANNEL D/S R1 (DWR),,,2.0
CFINR2,FINLEY NO.3 CHANNEL D/S R2 (DWR),,,2.0
CGC15ES,Central Goulburn Chnl 15/6/4,,,4.0
CGC25ES,Central Goulburn Chnl 25/4,,,4.0
CGC27ES,No 11 (CG Chnl 5/27/6),,,4.0
CGC7ES,Central Goulburn Chnl 7/19/6,,,4.0
CGC9ES,Central Goulburn 9/9,,,4.0
CGCL6ES,Central Goulburn Chnl Lower 6/4,,,4.0
CH9FPWO,Swan Hill to Channel 9,Swan Hill to Channel 9 Diversion when Fishpoint Weir open,,4.0
CHAFFEY,Ral Ral Creek at Chaffey Irrigation Pump,,4260552,5.0
CHAFGRV,River Murray at Chaffey's Graveyard,JUST DOWNSTREAM OF LOCK 11 AT MILDURA,414216A,2.0
CHAFPON,Murray River at Chaffeys Greaveyard - pontoon,Murray River at Chaffeys Greaveyard - pontoon,41310026,2.0
CHAFSTO,Chaffey Reservoir on Namoi System,,,2.0
CHALKA,Chalka Creek Dissipator Pit Water Level,Chalka Creek Dissipator Pit Water Level,CHALKA,
CHAMBER,Lake Bonney Near Chambers Creek Inlet,,4260597,5.0
CHAMNTH,Chambers Creek Culvert North (SA),Chambers Creek Culvert North (SA),,5.0
CHAMSTH,Chambers Ck Culvert - South (SA),Chambers Ck Culvert - South (SA),,5.0
CHANNL7,Channel 7 upstream of Mid-Murray Storage,,,4.0
CHANNL9,Channel 9 Diversion from Little Murray,,,4.0
CHANRDS,Ancillary Regulator D/S Chowilla,Chowilla System Site,,
CHANRUS,Ancillary Regulator U/S Chowilla,Chowilla System Site,,
CHARCSW,Charcol Swamp,Gunbower Forest - VIC National Parks,407365A,
CHAWSL6,Chowilla All Weather Station(A.W.S.) Lock 6,Chowilla System - South Australia,A4261167,
CHBKFDS,Bank F Downstream at Chowilla,Chowilla System - South Australia,,
CHBKFUS,Bank F Upstream at Chowilla,Chowilla System - South Australia,,
CHCKDSO,Chalka Ck D/S Oateys Regulator,Accoustic doppler to measure return flow to the Murray River,414231A,
CHCKSHC,Chambers Ck@Sugarloaf Hill,Chambers Creek at Sugarloaf Hill crossing,A4261171,5.0
CHCKTRK,Chalker Creek Track in Hattah Lakes,Hattah Lakes System,,
CHCKUSM,Chalka Ck at Gauging station,Hattah Lakes System,414230A,
CHCKUSO,Chalka Creek U/S Oateys Regulator,Hattah Lakes System,CHCKUSO,
CHCOPFL,Coppermine Flood Plain at Chowilla,Chowilla System - South Australia,A4261166,
CHCSTP,Chinchilla STP,,,1.0
CHESHUN,King River at Cheshunt,,403227,4.0
CHILRDS,Island Loop Regulator D/S Chowilla,Chowilla System Site,,
CHILRUS,Island Loop Regulator U/S Chowilla,Chowilla System Site,,
CHMRGDS,Chowilla Main Regulator D/S,Chowilla System - South Australia,,
CHMRGUS,Chowilla Main Regulator U/S,Chowilla System - South Australia,,
CHOCKDS,River Murray DS Chowilla Creek (second site),Chowilla System - South Australia,,
CHOFLW,3/17/2 Channel Outfall at Lake Wandella,3/17/2 CHANNEL OUTFALL AT LAKE WANDELLA,407762,4.0
CHOWBRG,Chowilla Ck at Bridge U/S Monoman Ck (Site 31),Chowilla System - South Australia,A4260535,5.0
CHOWDS,River Murray downstream Chowilla Creek,Chowilla System - South Australia,A4260704,5.0
CHOWILA,Chowilla Creek at Chowilla,Chowilla System - South Australia,,5.0
CHOWILL,Chowilla Creek Outflow,Chowilla System - South Australia,,5.0
CHOWMON,Chowilla Creek D/S Monoman Creek,Chowilla System - South Australia,A4261091,5.0
CHOWUS,River Murray upstream Chowilla Creek,Chowilla System - South Australia,A4260705,5.0
CHWOEDS,Woolshed East Regulator D/S Chowilla,Chowilla System - South Australia,,
CHWOEUS,Woolshed East Regulator U/S Chowilla,Chowilla System - South Australia,,
CHWOSDS,Woolshed South Regulator D/S Chowilla,Chowilla System - South Australia,,
CHWOSUS,Woolshed South Regulator U/S Chowilla,Chowilla System - South Australia,,
CKWSTP,Creswick STP,,,4.0
CLAREHS,Clare High School Met Stn,Clare High School Meteorological Station,21131,5.0
CLARKES,River Murray at Clarke's Sandbar (AMTD 513.4km),River Murray at Clarke's Sandbar (AMTD 513.4km),A4261066,5.0
CLAYTON,Lake Alexandrina at Clayton Jetty,http://e-http://e-nrims.dwlbc.sa.gov.au/SiteInfo/Default.aspx?site=A4261033#Site Details,A4261033,5.0
CLAYTPU,Clayton Weir Pumping,Pumping into Goolwa Channel from Lake Alexandrina,,5.0
CLFSTP,Clifton STP,,,1.0
CMAYCAM,MAYRUNG CHANNEL D/S CAMBELL'S (DWR),,,2.0
CMAYLOC,MAYRUNG CHANNEL D/S LOCHIEL (DWR),,,2.0
CMULWG1,MULWALA NO.11 CANAL D/S G1 (DWR),,,2.0
CMULWG2,MULWALA NO.11 CANAL (DWR),,,2.0
COBASIN,Cobdogla Evaporation Basin at Drainage Outfall,,A4260592,5.0
COBDOGL,River Murray at Cobdogla Irrigation Pump,,426538,5.0
COBDSTP,Cobdogla STP,,,5.0
COBPUMP,Cobram Pumping Station,Pumps to supply part of Murray Valley District,,4.0
COBRAM,River Murray at Cobram,,409217,4.0
COCKETG,Billabong Creek at Cocketgedong,,410012,2.0
7MULCKT,Cockburn River @ Mulla Crossing,Cockburn River @ Mulla Crossing,419016,
COCMUL,Cockburn River @ Mulla Crossing,Cockburn River @ Mulla Crossing,419016,
COH14MO,"COHUNA NO. 14 DRAIN, McMILLANS RD","COHUNA NO. 14 DRAIN, McMILLANS RD",407731,4.0
COH20UB,COHUNA NO. 20 DRAIN U/S BARR MAIN DRAIN,COHUNA NO. 20 DRAIN U/S BARR MAIN DRAIN,407728,4.0
COH5UBO,COHUNA No. 5 DRAIN U/S BARR CK OUTFALL,COHUNA No. 5 DRAIN U/S BARR CK OUTFALL,407726,4.0
COH7UBO,COHUNA NO. 7 DRAIN U/S BARR CK OUTFALL,COHUNA NO. 7 DRAIN U/S BARR CK OUTFALL,407727,4.0
COHUNWR,Cohuna weir �U/S,Gunbower Forest - VIC National Parks,407330A,
COHWRDS,Cohuna weir D/S,Gunbower Forest - VIC National Parks,,
COLCANO,Colleambally Canal Offtake,,,
COLEAMB,Coleambally Drain at Bundy,Coleambally Drain at Bundy (Outfall) - Eurolie Ck,410133,2.0
COLEMAN,Mitta Mitta River at Colemans,,401211A,4.0
COLIBAN,Upper Coliban Reservoir - Campaspe River,,,4.0
COLIBAS,Campaspe River - Coliban System,,,4.0
COLIGNA,River Murray at Colignans,,414207A,4.0
COLIPON,Murray River at Colignan - pontoon,Murray River at Colignan - pontoon,41310022,4.0
9GSCOLL,Barwon River at Collarenebri Main Channel,Barwon River @ Collarenebri Main Channel,422003,2.0
COLLARE,Barwon River at Collarenebri Main Channel,Barwon River @ Collarenebri Main Channel,422003,2.0
6COLARG,Mehi River Near Collarenebri,,418055,2.0
COLLBRI,Mehi River Near Collarenebri,,418055,2.0
COLLEAM,Colleambally,Colleambally - Murrumbidgee River System,,2.0
COLLELD,CIA Diversion,,,2.0
COLLINS,Collins River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
COLLMET,Collarenabri (Bundabarina),,48018,2.0
COLLNDS,Collins Regulator D/S,Millewa monitoring site,,
COLLNGW,Collinsville Groundwater Bore,,A4261154,5.0
COLLREG,Colligen Creek D/S Offtake Regulator,,409024,4.0
COLLRET,Colleambally return,,,
COLLTOT,Barwon R @ Collarenabri ( total flow ),,422033,2.0
COLLYMO,GWYDIR RIVER AT COLLYMONGLE,,418031,2.0
CONAMET,CONARGO POST OFFICE MET STATION,Meteorological,74192,2.0
CONARGO,BILLABONG CREEK AT CONARGO,,410017,2.0
CONBDAM,Cecil Plains to Beardmore Dam,Cecil Plains to Beardmore Dam - Condamine / Balonne River,,
CONBIF1,St George Irrigation Channels,St George Irrigation Channels - Balonne River,,
CONBORD,Condamine Balonne at QLD-NSW border,Condamine Balonne at QLD-NSW border,,1.0
CONBSB,Beardmore Storage to NSW Border STGWSS,Beardmore Storage to NSW Border - St George Water Supply System,,4.0
CONBSBM,Beardmore Storage to Border - MWSS,Condamine and Balonne - Beardmore Storage to Border - Maranoa water Supply Scheme,,1.0
CONCOOB,Cooby dam on Condamine,,422312A,1.0
CONCPNW,Cecil Plains to Nangram Weir,Cecil Plains to Nangram Weir,,1.0
CONCWBS,Chinchilla Weir to Beardmore Storage,Chinchilla Weir to Beardmore Storage - Chinchilla Weir Water Supply System,,4.0
CONDAM,Condamine/Balonne/Culgoa System,Condamine/Balonne/Culgoa River System,,1.0
CONDCC,Condamine River - Chinchilla,,,1.0
CONDEOS,Condamine Balonne System at Barwon,Outflow from Condamine,,1.0
CONDIBR,Condidorio�s Bridge,Gunbower Forest - VIC National Parks,407332A,
CONDLES,Leslie dam on Condamine river,,,4.0
CONNAN,Nangram Weir to Beardmore Storage,Nangram Weir to Beardmore Storage,,1.0
CONQNB,Bifurcation 1 to NSW Border,Bifurcation 1 to NSW Border - Balonne / Culgoa River,,
CONSTP,Condobolin STP,,,2.0
CONUCPW,U/S of Cecil Plains Weir,U/S of Cecil Plains Weir - Condamine River,,4.0
CONUCWS,Upstream of Chinchilla Weir,Upstream of Chinchilla Weir - Upper Condamine Water Supply System,,4.0
COOBSTP,Coonabarabran STP,,,2.0
COOLACR,Coolamon Crossing,Millewa monitoring site,,
COOLBAG,Coolbaggie Creek @ Rawsonville,Coolbaggie Creek @ Rawsonville,421055,2.0
COOLMUN,Coolmunda Reservoir on MacIntyre Brook,Coolmunda Reservoir on MacIntyre Brook in Queensland Border Rivers,,4.0
COOLTON,Cooltong,Cooltong - Riverland Region,,
COOMKPT,The Coorong at Mark Point,,A4260664,5.0
COOMPUM,Coomealla Irrigation Pumps - From Murray,,,
COONALP,Coonalpyn Met Stn,Coonalpyn Met Stn,25504,5.0
COONAMB,Castlereagh River at Coonamble,,420005,2.0
COONMET,Coonamble (Coonamble Airport),,51010,2.0
COONWSI,The Coorong NW Snipe Island,The Coorong NW Snipe Island,A4261165,5.0
COORBC1,Coorong Channel near Beacon 1 (Ewe Island Shacks),Coorong Channel near Beacon 1 (Ewe Island Shacks),A4261043,5.0
COORBRK,Coorong Channel adjacent Barker Knoll,Coorong Channel adjacent Barker Knoll,A4261039,5.0
COORPEL,The Coorong at Pelican Point,The Coorong at Pelican Point,A4261134,5.0
COOSSPT,COORONG @ Sand Spit Point,,A4260634,5.0
COOSTP,Coolah STP,,,2.0
COOTSTP,Cootamundra STP,,,2.0
6FDSCOP,GWYDIR RIVER D/S COPETON DAM,,418026,2.0
COPEDS,GWYDIR RIVER D/S COPETON DAM,,418026,2.0
COPETON,Copeton Dam - Gwydir River,,,2.0
COPIHOL,Copi Hollow,Storage between Lake Menindee and Lake Cawandilla,42510037,2.0
CORIN,Corin Reservoir,,,3.0
CORNALA,Cornalla Creek,Millewa monitoring site,,
COROWA,River Murray at Corowa,,409002,4.0
CORREYS,Correys River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
CORRMET,CORRYONG MET STATION,,82011,4.0
CORRONG,Lachlan River at Coorong,,412045,2.0
CORSTP,Corowa STP,,,2.0
CORYRDS,Correys Regulator D/S,Millewa monitoring site,,
COTTER,Cotter Dam Extractions,Cotter Dam Extractions,,3.0
COTTPUM,Murrumbidgee at Cotter Pump Station,Murrumbidgee at Cotter Pump Station,,
COWANNA,River Murray - Cowanna Bend,,,4.0
COWCK,COW CREEK,,,
COWCKRG,Cow Creek River Regulator U/S Forest Side,New South Wales Regulators - Koondrook-Perricoota Forest,,2.0
COWIRRA,Cowirra,Cowirra - Mallee Region,,4.0
COWPUM,Cowirra - Jervois Pipeline,,,
4190320,Coxs Creek @ Boggabri,Coxs Creek @ Boggabri,419032,2.0
COXBOG,Coxs Creek @ Boggabri,Coxs Creek @ Boggabri,419032,2.0
CROSSRD,Cross Road,Millewa monitoring site,,
CROSTP,Crookwell STP,,,2.0
CRUMPDS,Crumps Regulator D/S,Millewa monitoring site,,
CRUMPS,Crumps River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
CSLRWP,Castlemaine RWP,,,4.0
CSUSTP,Charles Sturt University STP,,,2.0
CUDGEGO,CUDGEGO portion of MACQUARIE CASTLEREAGH BOGAN,MACQUARIE CASTLEREAGH BOGAN,,
CUDGEWA,Cudgewa Creek & Cudgewa North,,401229A,4.0
CULGBOR,Culgoa River at Border,,,
CULGEOS,Culgoa River at Barwon,,,
CUNNMET,Cunnamulla (Post Office),,44026,2.0
CURLPON,Murray River at Curlwaa - pontoon,Murray River at Curlwaa - pontoon,41310028,2.0
CURLPUM,Curlwaa Irrigation Pumps - from Murray,,,
CURLSIS,Curlwaa Salt Interception Scheme,Salt flowing into reach currently controlled by Salt,,
CURLWAA,RIVER MURRAY - CURLWAA,,414217,2.0
CURRCUR,Currency Creek at Currency Creek,,A4261078,5.0
CURRECK,Currency,,,
CURRHIG,Currency Creek near Higgins,Currency Creek near Higgins,A4260530,5.0
CURRPRC,Currency Creek near Peel Road Cemetery,Currency Creek near Peel Road Cemetery,A4261099,5.0
CURRS,Mosquito Ck Depression at Currs Rd,Mosquito Creek at Currs Road,406756,4.0
CWMCRWA,Caseys Weir and Major Creek RWA,Rural Water Authority,,4.0
CYGSTP,Corryong STP,,,4.0
DALGETY,Snowy River at Dalgety,SNOWY RIVER - DALGETY,222006,2.0
DALSTP,Dalby STP,,,1.0
DAM183D,GREAT DARLING ANABRANCH DOWNSTREAM DAM 183,GREAT DARLING ANABRANCH DOWNSTREAM DAM 183,425053,2.0
DARDIVA,Broken Hill Water Board Pumps,Diversion from Weir 32 Pool of Darling to Broken Hill,,4.0
DARDIVB,Darling Diversion - Main Weir to Weir 32,Includes Diversions in Menindee Lakes,,2.0
DARDIVC,Darling Diversion - Weir 32 to L10 Pool,,,2.0
DARDIVD,Darling Diversion - Pomona I. D.,DIVERSION TO POMONA I.D. FROM WENTWORTH WEIR POOL,,2.0
DARDIVE,Darling Lock 10 Pool Private Diversions,Does Not Include Pomona,,2.0
DARDIVS,Darling Diversions - total,Sum of DARDIV A-E + TANDIV + CAWNOUT,,2.0
DARLANA,Darling at Anabranch,,425048,2.0
DARLCAT,River Darling Catchment,,,2.0
11FGDAR,Billabong Creek at Darlot,,410134,4.0
11GFDAR,Murrumbidgee River at Darlington Point,,410021,2.0
DARLUSM,,,,
DARPSTP,Darlington Point STP,,,2.0
DARSTP,Dareton STP,,,2.0
DARTLOC,Dartmouth Local Inflows,,,4.0
DARTMET,Dartmouth Reservoir Met Station,Meteorological,82076,4.0
DARTMOU,Mitta Mitta River at Dartmouth,MITTA MITTA RIVER - DARTMOUTH,401213,4.0
DARTNSW,NSW Component of Dartmouth Reservoir,Used for Extra Releases from Dartmouth for NSW purposes,,
DARTOUT,Calculated Dartmouth outflows,Calculated Dartmouth Outflows without DARTLOC,,4.0
DARTPWR,Outflow from Dartmouth Power Station,"Outflow through Dartmouth Power Station, does not include",,4.0
DARTREG,Dartmouth Dam Re-regulating Pondage,Dartmouth Dam Re-regulating Pondage D/S of the Dam Wall,,4.0
DARTRIB,Tributaries routed to Dartmouth,Hinnomumjie Gibbo Park and Uplands routed to Dartmouth,,4.0
DARTSHY,Dartmouth - Southern Hydro,Releases for hydro electricity from Dartmouth,,4.0
DARTSTP,Dartmouth STP,,,4.0
DARTUS,Lake Dartmouth - Dam Wall,,401224A,4.0
DARTVIC,Victorian Component of Dartmouth Reservoir,Used for Extra Releases from Dartmouth for Victorian purposes,,
DAVID,Test site,Test Site,,4.0
DAWDWR,DAW DR AT WANDELLA RD,DAW DR AT WANDELLA RD,407761,4.0
DAWHDLW,DAW HOUSE DR AT LAKE WANDELLA,DAW HOUSE DR AT LAKE WANDELLA,407760,4.0
DC1000,DC1000 Drain U/S outfall to Wakool R,Also known as Wakool Outfall Drain at Barham/Moulamein Road,409073,4.0
DC2500,DC2500 East Escape,DC2500 East Escape to Jimaringle Ck,40910117,2.0
DC800DO,Drainage Channel 800 (DC800),,,2.0
DEADMAN,Darling River U/S of Deadmans Creek,DARLING RIVER DARLING RIVER AT GLEN VILLA. 2ND STATION ESTABLISHED FOR DWR SALINITY SURVEY JUNE 1993,425036,2.0
DEADMCK,Deadmans Creek,Millewa monitoring site,,
DEAKDRN,Deakin Main Drain Outfall (Echuca),,406704,4.0
DEEPFIR,Deep Creek at Fiegert Road,Deep Creek at Fiegert Road,A4261077,5.0
DELAWAR,RIVER MURRAY - DELAWARE,,,
DELSTP,Delungra STP,,,2.0
DENBESC,Deniboota Canal Escape,Escape from Deniboota Canal at Porthole Creek,409067,4.0
DENCDOF,Deniboota Canal Drain (DBCE),,,2.0
DENIHAY,North Deniliquin Drain at Hay Road,North Deniliquin Drain at Hay Road,409060,4.0
DENILQ,Edward River @ Deniliquin,,409003,4.0
DENIMET,Deniliquin Post Office Met Station,Meteorological,74128,4.0
DENMDRN,Denimein LWMP Drains,Replaced North Deni Drain at Hay Rd,,
DENMET,Deniliquin Airport AWS,,74258,4.0
DENSTP,Deniliquin STP,,,2.0
DENYALL,Deniboota Escape u/s Yallakool channel,Deniboota Escape u/s Yallakool channel.,409067,4.0
DEVLINS,YEA RIVER - DEVLIN'S BRIDGE,,,4.0
DEWTSTP,Deepwater STP,,,2.0
DISHERS,Dishers Ck Drainage Outfall at Dishers Ck Drain Ba,Dishers Ck Drainage Outfall at Dishers Ck Drain Basin,A4261085,5.0
DKMDOF,Deakin Main Drain,,,4.0
