planning_unit_name,LTWPShortName,env_obj,Objective,Target,state,SWSDLName
Beardy River Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Beardy River Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Beardy River Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Beardy River Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Glenn Innes Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Bonshaw Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Kings Plains Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Inverell Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Yetman Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Ottleys Creek Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,NSW Border Rivers
Keepit to Boggabri,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Keepit to Boggabri,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Boggabri to Wee Waa,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Wee Waa to Barwon River,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Pian Creek Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Keepit Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Peel Regulated River,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Cockburn River Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mid Macdonald River Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Upper Namoi Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Mooki River Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF1,No loss of native fish species,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Coxs Creek Water Source,Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Namoi
Belubula River,Lachlan,NF1,No loss of native fish species,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW,Lachlan
Belubula River,Lachlan,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW,Lachlan
Lake Wetherall,Murray Lower Darling,NV1,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native Vegetation,NSW,Lower Darling
Lake Wetherall,Murray Lower Darling,NV2A,Maintain or increase the extent & maintain the viability of non-woody vegetation communities occurring in wetlands & on floodplains,Native Vegetation,NSW,Lower Darling
Lake Wetherall,Murray Lower Darling,NV3,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW,Lower Darling
Menindee Lakes,Murray Lower Darling,NV1,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native Vegetation,NSW,Lower Darling
Menindee Lakes,Murray Lower Darling,NV2A,Maintain or increase the extent & maintain the viability of non-woody vegetation communities occurring in wetlands & on floodplains,Native Vegetation,NSW,Lower Darling
Menindee Lakes,Murray Lower Darling,NV3,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW,Lower Darling
