LTWPShortName,EcoObj,Objective,Target,State
South Australia River Murray,SA_CLLMM_F11_g1,"Maintain a spatio- temporally diverse fish community and resilient populations of key native fish species in the lower lakes and Coorong_Maintain or improve abundances, distribution and recruitment of black bream and greenback flounder with population condition score ?3 (Ye, et al., 2014a) - Black bream",Native Fish,SA
South Australia River Murray,SA_CLLMM_F11_g2,"Maintain a spatio- temporally diverse fish community and resilient populations of key native fish species in the lower lakes and Coorong_Maintain or improve abundances, distribution and recruitment of black bream and greenback flounder with population condition score ?3 (Ye, et al., 2014a) - Greenback flounder",Native Fish,SA
South Australia River Murray,SA_CLLMM_F11_h,"Maintain a spatio- temporally diverse fish community and resilient populations of key native fish species in the lower lakes and Coorong_Facilitate regular recruitment and a broader distribution of juvenile mulloway (Ye, et al., 2014a)",Native Fish,SA
South Australia River Murray,SA_CLLMM_F11_i,"Maintain a spatio- temporally diverse fish community and resilient populations of key native fish species in the lower lakes and Coorong_Maintain an average Catch-Per-Unit-Effort (CPUE) of small- mouthed hardyhead sampled in spring/early summer of > 120 for adults, and >790 for juveniles (Ye, et al., 2014b)",Native Fish,SA
South Australia River Murray,SA_CLLMM_F11_j,"Maintain a spatio- temporally diverse fish community and resilient populations of key native fish species in the lower lakes and Coorong_Maintain the proportional abundance of small-mouthed hardyhead juveniles at >60% in 75% of defined monitoring sites within the CLLMM (Ye, et al., 2014b)",Native Fish,SA
South Australia River Murray,SA_CLLMM_MI1_a1,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_Macroinvertebrate taxonomic distinctness falls within the expected ranges of a regional reference (Dittman, 2014) - Lower Lakes",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_a2,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_Macroinvertebrate taxonomic distinctness falls within the expected ranges of a regional reference (Dittman, 2014) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_b1,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_The distribution of macroinvertebrate species remains within or above the species-specific reference level for their index of occurrence (Dittman, 2014) - Lower Lakes",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_b2,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_The distribution of macroinvertebrate species remains within or above the species-specific reference level for their index of occurrence (Dittman, 2014) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_c,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_The area of occupancy where abundance and biomass are at or above the reference level should be >20% of the monitoring sites (Dittman, 2014) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_d1,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_The macroinvertebrate community has a higher multivariate similarity to the community present in years with flow than without flow (Dittman, 2014) - Lower Lakes",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI1_d2,"Maintain or improve invertebrate communities in estuarine and lagoon sediments_The macroinvertebrate community has a higher multivariate similarity to the community present in years with flow than without flow (Dittman, 2014) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI2_a,"Maintain habitable sediment conditions in mudflats_Median grain size of sediments in the Coorong and Murray Mouth will remain between 125  500 ?m (Dittman, 2014)",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_MI2_b,"Maintain habitable sediment conditions in mudflats_Sediment organic matter content between 1 and 3.5 % dry weight in the Coorong and Murray Mouth (Dittman, 2014)",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_V9_a,"Restore Ruppia tuberosa colonisation and reproduction in the Coorong at a regional and local scale_A continuous distribution of Ruppia tuberosa beds along a 50 km section of the southern Coorong (excluding outliers) (Paton, 2014b)",Native Vegetation,SA
South Australia River Murray,SA_CLLMM_V9_b,"Restore Ruppia tuberosa colonisation and reproduction in the Coorong at a regional and local scale_Within the abovementioned distribution, 80% of the monitored sites should have Ruppia tuberosa plants present in winter and summer (Paton, 2014b)",Native Vegetation,SA
South Australia River Murray,SA_CLLMM_V9_c,"Restore Ruppia tuberosa colonisation and reproduction in the Coorong at a regional and local scale_50% of sites with Ruppia tuberosa to exceed the local site indicators for a healthy Ruppia tuberosa population (Paton, 2014b)",Native Vegetation,SA
South Australia River Murray,SA_CLLMM_V9_d,"Restore Ruppia tuberosa colonisation and reproduction in the Coorong at a regional and local scale_Support a resilient Ruppia tuberosa population with seed densities of 2000 seeds/m2 by 2019 and 50% of sites having 60% cover in winter and a seed bank of 10,000 seeds/m2 by 2029 in the Coorong South Lagoon (Paton, 2014b)",Native Vegetation,SA
South Australia River Murray,SA_CLLMM_V10_a,"Maintain or improve aquatic and littoral vegetation in the Lower Lakes_Maintain or improve diversity of aquatic and littoral vegetation in the Lower Lakes as quantified using the LLCMM vegetation indices (Nicol, et al., 2014b)",Native Vegetation,SA
South Australia River Murray,SA_CLLMM_WQ3_a,"Establish and maintain stable salinities in the lakes and a variable salinity regime in the Murray estuary and Coorong._Barrage outflows sufficient to maintain electrical conductivity in Lake Alexandrina at a long-term average of 700 ?S/cm, below 1,000 ?S/cm 95% of years and below 1,500 ?S/cm 100% of the time (Heneker, 2010).",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_WQ3_b,"Establish and maintain stable salinities in the lakes and a variable salinity regime in the Murray estuary and Coorong._To support aquatic habitat: maintain a salinity gradient from 0.5 ppt to 35ppt between the Barrages and Murray Estuary area, <45ppt in the North lagoon, and from 60ppt to 100 ppt in the South lagoon (Lester, et al., 2011) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_EP9_a,"Maintain a permanent Murray Mouth opening through freshwater outflows with adequate tidal variations to improve water quality and maximise connectivity between the Coorong and the sea_Maintain an open Murray Mouth, as indicated when the Diurnal Tidal Ratio (DTR) at Goolwa exceeds 0.3, with minimum DTR values of 0.05 and 0.2 at Tauwitchere and Goolwa respectively (Murray-Darling Basin Authority, 2013b; Department of Water Land and Biodiversity Conservation, 2008) - Coorong",Ecosystem Functions,SA
South Australia River Murray,SA_CLLMM_EP9_b,"Maintain a permanent Murray Mouth opening through freshwater outflows with adequate tidal variations to improve water quality and maximise connectivity between the Coorong and the sea_Maintain a minimum annual flow required to keep the Murray Mouth open (7301,090 GL/year) (Murray-Darling Basin Authority, 2013b)",Ecosystem Functions,SA
South Australia River Murray,SA_IC_EP1_a,"Provide for the mobilisation of carbon and nutrients from the floodplain to the river to reduce the reliance of in-stream foodwebs on autochthonous productivity._Open-water productivity shows a temporary shift from near zero or autotrophic dominance (positive Net Daily Metabolism) towards heterotrophy (negative Net Daily Metabolism) when QSA >30,000 ML/day.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_EP2_a,"Provide diverse hydraulic conditions over the range of velocity classes in the lower third of weir pools so that habitat and processes for dispersal of organic and inorganic material between reaches are maintained._Habitat across the range of velocity classes is present in the lower third of weir pools for at least 60 consecutive days in SepMar, at a maximum interval of 2 years.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_EP3_a,Maintain a diurnally-mixed water column to ensure diverse phytoplankton and avoid negative water quality outcomes._Thermal stratification does not persist for more than 5 days at any time.,Ecosystem Functions,SA
South Australia River Murray,SA_IC_EP4_a,"Ensure adequate flushing of salt from the Murray to the Southern Ocean._Basin Plan Objective: Salt export, averaged over the preceding 3 years, is ?2 million tonnes per year.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_EP5_a,Maintain habitats and provide for dispersal of organic and inorganic material and organisms between river and wetlands._Inundation periods in temporary wetlands have unrestricted lateral connectivity between the river and wetlands in >90% of inundation events.,Ecosystem Functions,SA
South Australia River Murray,SA_IC_WQ1_a,"Maintain water quality to support aquatic biota and normal biogeochemical processes._Biovolume <4 mm3/L for all Cyanobacteria, where a known toxin producer is dominant.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_WQ1_b,"Maintain water quality to support aquatic biota and normal biogeochemical processes._Biovolume <10 mm3/L for all Cyanobacteria, where toxins are not present.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_WQ1_c,Maintain water quality to support aquatic biota and normal biogeochemical processes._Basin Plan Target: Maintain dissolved oxygen above 50% saturation throughout water column at all times.,Ecosystem Functions,SA
South Australia River Murray,SA_IC_GWS1_a,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain groundwater and soil moisture conditions conducive to improving riparian vegetation._Establish and maintain freshwater lenses in near-bank recharge zones.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_GWS1_b,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain groundwater and soil moisture conditions conducive to improving riparian vegetation._Maintain soil water availability, measured as soil water potential > -1.5 MPa at soil depth 2050 cm, to sustain recruitment of long-lived vegetation across the elevation gradient in the target zone.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_GWS1_c,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain groundwater and soil moisture conditions conducive to improving riparian vegetation._Reduce soil salinity (measured as EC 1:5) to <5000 ?S/cm to prevent shifts in understorey plant communities to salt-tolerant functional groups across the elevation gradient in the target zone.",Ecosystem Functions,SA
South Australia River Murray,SA_IC_BF1_a,Promote bacterial rather than algal dominance of biofilms and improve food resource quality for consumers._Annual median biofilm composition is not dominated (>80%) by filamentous algae.,Ecosystem Functions,SA
South Australia River Murray,SA_IC_BF1_b,Promote bacterial rather than algal dominance of biofilms and improve food resource quality for consumers._Annual median biofilm C:N ratios are <10:1.,Ecosystem Functions,SA
South Australia River Murray,SA_IC_V1_a,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain a diverse native flood-dependent plant community in areas inundated by flows of 10,00040,000 ML/day QSA._In standardised transects spanning the elevation gradient in the target zone8, 70% of river red gums have a Tree Condition Index score ? 10.",Native Vegetation,SA
South Australia River Murray,SA_IC_V1_b,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain a diverse native flood-dependent plant community in areas inundated by flows of 10,00040,000 ML/day QSA._A sustainable demographic is established to match the modelled profile for a viable river red gum population in existing communities spanning the elevation gradient in the target zone.",Native Vegetation,SA
South Australia River Murray,SA_IC_V1_c,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain a diverse native flood-dependent plant community in areas inundated by flows of 10,00040,000 ML/day QSA._Species from the Plant Functional Group flood- dependent/responsive occur in 70% of quadrats spanning the elevation gradient in the target zone at least once every 3 years.",Native Vegetation,SA
South Australia River Murray,SA_IC_V2_a,"Throughout the length of the Channel asset (i.e. SA border to Wellington), establish and maintain a diverse macrophyte community in wetlands inundated by flows up to 40,000 ML/day QSA._Native macrophytes from the emergent, amphibious and flood- dependent functional groups occur in 70% of quadrats spanning the elevation gradient in the target zone at least once every 3 years.",Native Vegetation,SA
South Australia River Murray,SA_IC_F1_a,"Restore the distribution of native fish._Expected species9 occur in each mesohabitat (channel, anabranch, wetlands) in each weir pool/reach.",Native Fish,SA
South Australia River Murray,SA_IC_F2_a,"Restore resilient populations of Murray cod (a long-lived apex predator)._Population age structure10 of Murray cod includes recent recruits11, sub-adults and adults in 9 years in 10.",Native Fish,SA
South Australia River Murray,SA_IC_F2_b,"Restore resilient populations of Murray cod (a long-lived apex predator)._Population age structure of Murray cod indicates a large recruitment12 event 1 year in 5, demonstrated by a cohort representing >50% of the population.",Native Fish,SA
South Australia River Murray,SA_IC_F2_c,Restore resilient populations of Murray cod (a long-lived apex predator)._Abundance (CPUE13) of Murray cod increases by ?50% over a 10-year period.,Native Fish,SA
South Australia River Murray,SA_IC_F3_a,Restore resilient populations of golden perch and silver perch (flow-dependent specialists)._Population age structure of golden perch and silver perch includes YOY14 with sub-adults and adults in 8 years in 10.,Native Fish,SA
South Australia River Murray,SA_IC_F3_b,"Restore resilient populations of golden perch and silver perch (flow-dependent specialists)._Population age structure of golden perch and silver perch indicates a large recruitment event 2 years in 5, demonstrated by separate cohorts representing >30% of the population.",Native Fish,SA
South Australia River Murray,SA_IC_F3_c,Restore resilient populations of golden perch and silver perch (flow-dependent specialists)._Abundance (CPUE) of golden perch and silver perch increases by ?30% over a 5-year period.,Native Fish,SA
South Australia River Murray,SA_IC_F4_a,"Restore resilient populations of freshwater catfish._Population age structure of freshwater catfish includes YOY, with sub-adults and adults in 9 years in 10.",Native Fish,SA
South Australia River Murray,SA_IC_F4_b,"Restore resilient populations of freshwater catfish._Population age structure of freshwater catfish indicates a large recruitment event 2 years in 5, demonstrated by separate cohorts representing >30% of the population.",Native Fish,SA
South Australia River Murray,SA_IC_F4_c,Restore resilient populations of freshwater catfish._Abundance (CPUE) of freshwater catfish increases by ?30% over a 5-year period.,Native Fish,SA
South Australia River Murray,SA_IC_F5_a,"Restore and maintain resilient populations of foraging generalists (e.g. Australian smelt, bony herring, Murray rainbowfish, unspecked hardyhead, carp gudgeons, flathead gudgeons)._The length-frequency distributions for foraging generalists include size classes showing annual recruitment.",Native Fish,SA
South Australia River Murray,SA_IC_F6_a,Minimise the risk of carp recruitment._The relative abundance and biomass of common carp does not increase in the absence of increases in abundance and biomass of flow-dependent native fish.,Native Fish,SA
South Australia River Murray,SA_FP_EP6_a,"Provide for the mobilisation of carbon, nutrients and propagules from the floodplain to the river_During inundation periods, record an increase in the abundance and diversity of invertebrate food resources, nutrients and DOC relative to those available during base flow",Ecosystem Functions,SA
South Australia River Murray,SA_FP_EP7_a,Provide diverse hydraulic conditions and complex habitat for flow dependent biota and processes_Deliver flows in a manner that reduces the proportion of slow flowing habitat and increases the proportion of moderate velocity habitat thereby reinstating a diversity of velocity classes representative of natural conditions,Ecosystem Functions,SA
South Australia River Murray,SA_FP_EP8_a,"Implement a seasonal and multi-year hydrograph that encompasses variation in discharge, velocity and water levels_Discharge, water level and duration metrics of planned e-water represent a seasonally variable hydrograph",Ecosystem Functions,SA
South Australia River Murray,SA_FP_WQ2_a,"Maintain water quality to support water dependent biota and normal biogeochemical processes18_Maintain dissolved oxygen above 50% saturation throughout water column at all times, in connected waters",Ecosystem Functions,SA
South Australia River Murray,SA_FP_GWS2_a,Establish groundwater conditions conducive to maintaining diverse native vegetation across the Floodplain PEA_Establish and maintain freshwater lenses in near-bank recharge zones17,Ecosystem Functions,SA
South Australia River Murray,SA_FP_GWS3_a,"Establish soil conditions conducive to maintaining diverse native vegetation across the Floodplain PEA_Maintain soil water availability, measured as soil water potential at soil depth 20-50cm, greater than -1.5 MPa in order to sustain the recruitment of long-lived vegetation",Ecosystem Functions,SA
South Australia River Murray,SA_FP_GWS4_b,"Establish soil conditions conducive to maintaining diverse native vegetation across the Floodplain PEA_Reduce soil salinity (EC 1:5) to below 5,000 S/cm to prevent permanent shifts in understorey plant communities to salt tolerant functional groups",Ecosystem Functions,SA
South Australia River Murray,SA_FP_GWS4_c,Establish soil conditions conducive to maintaining diverse native vegetation across the Floodplain PEA_Maintain soil sodicity below the exchangeable sodium percent (ESP) value of 15 (highly sodic),Ecosystem Functions,SA
South Australia River Murray,SA_FP_GWS4_a,Maintain sedimentation and erosion processes within normal ranges during overbank flows within the Floodplain PEA_Limit the maximum rate of drawdown (averaged over 3 consecutive days) to ?0.025 m/day (0.05m/day in any one day) to minimise risk of bank failure,Ecosystem Functions,SA
South Australia River Murray,SA_FP_V3_a,"Maintain a viable, functioning River Red Gum population within the Floodplain PEA_In standardised transects that span the Floodplain PEA elevation gradient and existing spatial distribution, >70% of all trees have a Tree Condition Index Score (TCI) ?10.",Native Vegetation,SA
South Australia River Murray,SA_FP_V3_b,"Maintain a viable, functioning River Red Gum population within the Floodplain PEA_A sustainable demographic20 that matches the modelled profile for a viable population is established within existing communities across the floodplain elevation gradient.",Native Vegetation,SA
South Australia River Murray,SA_FP_V4_a,"Maintain a viable, functioning Black Box population within the Floodplain PEA_In standardised transects that span the Floodplain PEA elevation gradient and existing spatial distribution, >70% of all trees have a TCI ?1019",Native Vegetation,SA
South Australia River Murray,SA_FP_V4_b,"Maintain a viable, functioning Black Box population within the Floodplain PEA_A sustainable demographic19 that matches the modelled profile for a viable population is established within existing communities across the floodplain elevation gradient",Native Vegetation,SA
South Australia River Murray,SA_FP_V5_a,"Maintain a viable, functioning River Cooba population within the Floodplain PEA_In standardised transects that span the Floodplain PEA elevation gradient and existing spatial distribution, >70% of all trees have a TCI ?1019",Native Vegetation,SA
South Australia River Murray,SA_FP_V5_b,"Maintain a viable, functioning River Cooba population within the Floodplain PEA_A sustainable demographic19 that matches the modelled profile for a viable population is established within existing communities across the floodplain elevation gradient",Native Vegetation,SA
South Australia River Murray,SA_FP_V6_a,"Maintain a viable, functioning Lignum population within the Floodplain PEA_In standardised transects that span the floodplain elevation gradient and existing spatial distribution, ?70% of Lignum plants have a Lignum Condition Score (LCI) ?6 for colour21",Native Vegetation,SA
South Australia River Murray,SA_FP_V7_a,"Establish and maintain diverse water dependent vegetation within aquatic zones across the Floodplain PEA_In aquatic zones, a minimum of 40% of cells either inundated or dry containing inundation-dependent or amphibious plant taxa once every two years on average with maximum interval no greater than 4 years22. Native water dependent species richness >30 across the Floodplain PEA.",Native Vegetation,SA
South Australia River Murray,SA_FP_V7_b,"Establish and maintain diverse water dependent vegetation within aquatic zones across the Floodplain PEA_In aquatic zones, a minimum of 80% of cells either inundated or dry containing native flood dependent or amphibious plant taxa once every four years on average with maximum interval no greater than 6 years22 Native water dependent species richness >50 across the Floodplain PEA.",Native Vegetation,SA
South Australia River Murray,SA_FP_V8_a,"Establish and maintain diverse native vegetation comprising native flood dependent and amphibious species within the shedding floodplain zones across the Floodplain PEA_In shedding floodplain zones, a minimum of 20% of cells containing native flood dependent or amphibious plant taxa once every three years on average with maximum interval no greater than 5 years22. Native flood dependent and amphibious species richness >20 across the Floodplain PEA.",Native Vegetation,SA
South Australia River Murray,SA_FP_V8_b,"Establish and maintain diverse native vegetation comprising native flood dependent and amphibious species within the shedding floodplain zones across the Floodplain PEA_In shedding floodplain zones, of 40% of cells containing native flood dependent or amphibious plant taxa once every five years on average with maximum interval no greater than 7 years22. Native flood dependent and amphibious species richness >30 across the Floodplain PEA",Native Vegetation,SA
South Australia River Murray,SA_FP_V8_c,"Establish and maintain diverse native vegetation comprising native flood dependent and amphibious species within the shedding floodplain zones across the Floodplain PEA_In shedding floodplain zones, of 65% of cells containing native flood dependent or amphibious plant taxa once every seven years on average with maximum interval no greater than 10 years22. Native flood dependent and amphibious species richness >50 across the Floodplain PEA",Native Vegetation,SA
South Australia River Murray,SA_FP_F7_a,"Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Population age structure of Murray cod includes recent recruits, sub-adults and adults in 9 years in 10.",Native Fish,SA
South Australia River Murray,SA_FP_F7_b,"Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Population age structure of Murray cod indicates a large recruitment event 1 year in 5, demonstrated by a cohort representing >50% of the population.",Native Fish,SA
South Australia River Murray,SA_FP_F7_c,"Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Abundance, as measured by Catch Per Unit Effort (CPUE), of Murray cod increases by ?50% over a 10-year period.",Native Fish,SA
South Australia River Murray,SA_FP_F7_d,"Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Population age structure of freshwater catfish includes Young Of Year (YOY), with sub-adults and adults in 9 years in 10.",Native Fish,SA
South Australia River Murray,SA_FP_F7_e,"Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Population age structure of freshwater catfish indicates a large recruitment event 2 years in 5, demonstrated by separate cohorts representing >30% of the population.",Native Fish,SA
South Australia River Murray,SA_FP_F7_f,Restore resilient populations of circa- annual nester-spawners within the South Australian River Murray_Abundance (CPUE) of freshwater catfish increases by ?30% over a 5-year period.,Native Fish,SA
South Australia River Murray,SA_FP_F8_a,Restore resilient populations of flow- dependent specialists within the SA River Murray_Population age structure of golden perch and silver perch includes YOY with sub-adults and adults in 8 years in 10.,Native Fish,SA
South Australia River Murray,SA_FP_F8_b,"Restore resilient populations of flow- dependent specialists within the SA River Murray_Population age structure of golden perch and silver perch indicates a large recruitment event 2 years in 5, demonstrated by separate cohorts representing >30% of the population.",Native Fish,SA
South Australia River Murray,SA_FP_F8_c,"Restore resilient populations of flow- dependent specialists within the SA River Murray_Abundance, as measured by CPUE, of golden perch and silver perch increases by ?30% over a 5-year period.",Native Fish,SA
South Australia River Murray,SA_FP_F9_a,Restore resilient populations of wetland/floodplain specialists within aquatic zones across the Floodplain PEA during floodplain flow events_The length-frequency distributions for wetland/floodplain (native fish) specialists within aquatic zones across the Floodplain PEA include size classes showing annual recruitment.,Native Fish,SA
South Australia River Murray,SA_FP_F9_b,Restore resilient populations of wetland/floodplain specialists within aquatic zones across the Floodplain PEA during floodplain flow events_Increase range and abundance of wetland/floodplain (native fish) specialists within aquatic zones across the Floodplain PEA.,Native Fish,SA
South Australia River Murray,SA_FP_F10_a,"A low proportion of total fish community, measured as abundance and biomass, is comprised of non- native species_The relative abundance and biomass of non-native species does not increase in the absence of increases in abundance and biomass of native fish.",Native Fish,SA
South Australia River Murray,SA_FP_FR1_a,Provide habitat conducive to supporting diverse communities of riparian frogs within the Floodplain PEA_Each of 8 riparian frog species present within the Floodplain PEA will be recorded across the floodplain in any three year period.,Other Species,SA
South Australia River Murray,SA_FP_FR1_b,Provide habitat conducive to supporting diverse communities of riparian frogs within the Floodplain PEA_Tadpoles will be recorded from 8 species in later stages of metamorphosis across the Floodplain PEA in any three year period.,Other Species,SA
South Australia River Murray,SA_FP_WB1_a,"Create conditions conducive to successful, small scale breeding events for waterbirds across the Floodplain PEA_Minimum inundation periods required for successful breeding by a range of water bird species are provided. Preliminary minimum 120 days.",Waterbirds,SA
South Australia River Murray,SA_FP_WB2_a,Provide refuge for the maintenance of adult populations of waterbirds across the Floodplain PEA_During continental dry periods an increase in the observed to expected ratio of waterbird species17,Waterbirds,SA
South Australia River Murray,SA_FP_OF1_a,"Provide habitat conducive to supporting communities of native woodland birds, reptiles and mammals across the Floodplain PEA_Each of the bird species known to utilise similar floodplain woodland habitats in the region will be recorded at 50% sites across the Floodplain PEA in any three year period17.",Other Species,SA
South Australia River Murray,SA_FP_OF1_b,"Provide habitat conducive to supporting communities of native woodland birds, reptiles and mammals across the Floodplain PEA_Each of the reptile species known to utilise similar floodplain/woodland habitats in the region will be recorded at 50% sites across the Floodplain PEA in any three year period17.",Other Species,SA
South Australia River Murray,SA_FP_OF1_c,"Provide habitat conducive to supporting communities of native woodland birds, reptiles and mammals across the Floodplain PEA_Each of the native mammal species known to utilise similar floodplain/woodland habitats in the region will be recorded at 50% sites across the Floodplain PEA in any three year period17.",Other Species,SA
Lachlan,NF1,No loss of native fish species,Native Fish,NSW
Lachlan,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Lachlan,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Lachlan,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Lachlan,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Lachlan,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Lachlan,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Lachlan,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Lachlan,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Lachlan,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Lachlan,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Lachlan,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Lachlan,NV4a,Maintain the extent and maintain or improve the condition of river red gum woodland,Native Vegetation,NSW
Lachlan,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Lachlan,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Lachlan,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Lachlan,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Lachlan,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Lachlan,WB3,Increase opportunities for non-colonial nesting waterbird breeding,Waterbirds,NSW
Lachlan,WB4,Increase opportunities for colonial nesting waterbird breeding,Waterbirds,NSW
Lachlan,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Lachlan,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Lachlan,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Lachlan,EF3a,Provide movement and dispersal opportunities for water dependentbiota to complete lifecycles and disperse into new habitats (within catchments),Ecosystem Functions,NSW
Lachlan,EF3b,Provide movement and dispersal opportunities for water dependentbiota to complete lifecycles and disperse into new habitats (between catchments),Ecosystem Functions,NSW
Lachlan,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Lachlan,EF5,"Support nutrient, carbonand sediment transportalong channels, and between channels and floodplains/wetlands",Ecosystem Functions,NSW
Lachlan,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Functions,NSW
Lachlan,OS1,Maintain species richness and distribution of flow-dependent frog communities,Other Species,NSW
Lachlan,OS2,Maintain successful breeding opportunities for flow-dependent frog species,Other Species,NSW
Lachlan,OS4,Maintain water-dependent species richness,Other Species,NSW
Murrumbidgee,NF1,No loss of native fish species,Native Fish,NSW
Murrumbidgee,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Murrumbidgee,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Murrumbidgee,NF4,Improve population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Murrumbidgee,NF5,Improve population structure for moderate to long-lived riverine specialist native fishspecies,Native Fish,NSW
Murrumbidgee,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Murrumbidgee,NF7,Increase the prevalence and/or expand the population of key short to moderate-livedfloodplain specialistnative fish species into new areas (within historical range),Native Fish,NSW
Murrumbidgee,NF8,Increase the prevalence and/or expand the population of key moderate to long-livedriverine specialistnative fish species into new areas (within historical range),Native Fish,NSW
Murrumbidgee,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Murrumbidgee,NF10,Increase the prevalence and/or expand the population of key moderate to long-lived diadromous native fish species into new areas (within historical range),Native Fish,NSW
Murrumbidgee,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within and closely fringing channels,Native Vegetation,NSW
Murrumbidgee,NV2,Maintain the extent and viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Murrumbidgee,NV3,Maintain the extent and maintain or improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Murrumbidgee,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Murrumbidgee,WB2,Increase total waterbird abundance across all BWS functional groups,Waterbirds,NSW
Murrumbidgee,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Murrumbidgee,WB4,Increase opportunities for colonial waterbird breeding,Waterbirds,NSW
Murrumbidgee,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Murrumbidgee,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Murrumbidgee,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
